element_category;gbi_non-residential_existing_building_category;gbi_non-residential_existing_building_element;gbi_non-residential_new_construction_(nrnc)_category;gbi_non-residential_new_construction_(nrnc)_element
Element 4. Materials & Resources;Sustainable Materials & Resources and Policy;Sustainable Timber;Sustainable Resources;Regional Materials
Element 4. Materials & Resources;Sustainable Materials & Resources and Policy;Sustainable Purchasing Policy;Sustainable Resources;Sustainable Timber
Element 4. Materials & Resources;Waste Management;Storage, Collection & Disposal of Recyclables;Waste Management;Storage & Collection of Recyclables
Element 4. Materials & Resources;N/A;N/A;Waste Management;Construction Waste Management
Element 4. Materials & Resources;Green Products;Refrigerants & Clean Agents;Green Products;Refrigerants & Clean Agents
Element 5. Water Efficiency;Water Harvesting & Recycling;Rainwater Harvesting;Water Harvesting & Recycling;Rainwater Harvesting
Element 5. Water Efficiency;Water Harvesting & Recycling;Water Recycling;Water Harvesting & Recycling;Water Recycling
Element 5. Water Efficiency;Increased Efficiency;Water Efficient - Irrigation/Landscaping;Increased Efficiency;Water Efficient - Irrigation/Landscaping
Element 5. Water Efficiency;Increased Efficiency;Water Efficient Fittings;Increased Efficiency;Water Efficient Fittings
Element 5. Water Efficiency;Increased Efficiency;Metering & Leak Detection System;Increased Efficiency;Metering & Leak Detection System
Element 6. Innovation;N/A;Innovation & Environmental Initiatives;N/A;Innovation in Design & Environmental Design Initiatives
Element 6. Innovation;N/A;Green Building Index Facilitator;N/A;Green Building Index Accredited Facilitator
